UpdateDegree,StandardDegree
BACHELOR OF ARTS,BACHELOR ARTS
BACHELOR OF SCIENCE,BACHELOR SCIENCE
ASSOCIATE IN ARTS,ASSOCIATE ARTS
BA,BACHELOR ARTS
BA LIBERAL ARTS AND SCIENCE,BACHELOR LIBERAL ARTS
ASSOCIATE IN GENERAL STUDIES,ASSOCIATE OTHER
DIPLOMA,DIPLOMA
ASSOCIATE OF ARTS,ASSOCIATE ARTS
ADVANCED CERTIFICATE,ADVANCED CERTIFICATE
MASTER OF ARTS,MASTER ARTS
ASSOCIATE IN SCIENCE,ASSOCIATE SCIENCE
BS LIBERAL ARTS AND SCIENCE,BACHELOR LIBERAL ARTS
CERTIFICATE,CERTIFICATE
BACHELOR OF SCIENCE IN BUSINESS,BACHELOR SCIENCE
ASSOCIATE IN APPLIED SCIENCE,ASSOCIATE APPLIED SCIENCE
ASSOCIATE IN APPLIED SCIENCES,ASSOCIATE APPLIED SCIENCE
BSHS,BACHELOR SCIENCE
MA,MASTER ARTS
JD,JD
ASSOCIATE OF SCIENCE,ASSOCIATE SCIENCE
BS IN COMMUNICATION,BACHELOR ARTS
CREDIT CERTIFICATE,CERTIFICATE
ASSOCIATE IN AGRICULTURE,ASSOCIATE OTHER
BS MECHANICAL ENGINEERING,BACHELOR ENGINEERING
MASTER OF URBAN PLANNING AND POLICY,MASTER URBAN PLANNING
BACHELOR OF BUS ADMIN,BACHELOR BUSINESS
STATIONARY ENGINEERING,ASSOCIATE ENGINEERING
MASTERS OF ARTS,MASTER ARTS
EDUCATION,BACHELOR EDUCATION
BS IN CRIMINAL JUSTICE,BACHELOR SCIENCE
BACHELOR OF SCI-NURSING,BACHELOR SCIENCE
BS-HUMAN DEV & FAMILY ST,BACHELOR SCIENCE
A.A.S,ASSOCIATE APPLIED SCIENCE
MASTER OF ARCHITECTURE,MASTER ARCHITECTURE
ASSOCIATE OF APPLIED SCIENCE,ASSOCIATE APPLIED SCIENCE
BSED: BS IN EDUCATION,BACHELOR EDUCATION
BBA,BACHELOR BUSINESS
MASTER OF SCIENCE IN EDUCATION,MASTER EDUCATION
BS EDUCATION & SOCIAL POLICY,BACHELOR EDUCATION
BS IN MECHANICAL ENGG,BACHELOR ENGINEERING
AA,ASSOCIATE ARTS
BACHELOR OF SCIENCE IN ENGINEERING IN AEROSPACE E,BACHELOR ENGINEERING
MASTER OF EDUCATION,MASTER EDUCATION
BSN,BACHELOR SCIENCE
BACHELOR OF ARTS IN EDUCATION,BACHELOR EDUCATION
BASIC CERTIFICATE,BASIC CERTIFICATE
OTHER,OTHER
BACHELOR FINE ARTS,BACHELOR FINE ARTS
ASSOCIATE EDUCATION,ASSOCIATE EDUCATION
